window,freq,count,growth,GLD,BND,IGV,VDC,SOCL,IHF,IYZ,XOM
14,window,1,0.1783429487892394,0.0,0.5315247449282813,0.0,0.1223231880097999,0.1069025888740427,0.07621570244510874,0.0,0.1630337757427673
14,window,2,0.1783429487892394,0.0,0.5315247449282813,0.0,0.1223231880097999,0.1069025888740427,0.07621570244510874,0.0,0.1630337757427673
14,window,3,0.1783429487892394,0.0,0.5315247449282813,0.0,0.1223231880097999,0.1069025888740427,0.07621570244510874,0.0,0.1630337757427673
14,window,4,0.1783429487892394,0.0,0.5315247449282813,0.0,0.1223231880097999,0.1069025888740427,0.07621570244510874,0.0,0.1630337757427673
14,window,5,0.1783429487892394,0.0,0.5315247449282813,0.0,0.1223231880097999,0.1069025888740427,0.07621570244510874,0.0,0.1630337757427673
14,window,6,0.1783429487892394,0.0,0.5315247449282813,0.0,0.1223231880097999,0.1069025888740427,0.07621570244510874,0.0,0.1630337757427673
14,window,7,0.1783429487892394,0.0,0.5315247449282813,0.0,0.1223231880097999,0.1069025888740427,0.07621570244510874,0.0,0.1630337757427673
14,window,8,0.1783429487892394,0.0,0.5315247449282813,0.0,0.1223231880097999,0.1069025888740427,0.07621570244510874,0.0,0.1630337757427673
14,window,9,0.1783429487892394,0.0,0.5315247449282813,0.0,0.1223231880097999,0.1069025888740427,0.07621570244510874,0.0,0.1630337757427673
14,window,10,0.1783429487892394,0.0,0.5315247449282813,0.0,0.1223231880097999,0.1069025888740427,0.07621570244510874,0.0,0.1630337757427673
14,window,11,0.1783429487892394,0.0,0.5315247449282813,0.0,0.1223231880097999,0.1069025888740427,0.07621570244510874,0.0,0.1630337757427673
14,window,12,0.1783429487892394,0.0,0.5315247449282813,0.0,0.1223231880097999,0.1069025888740427,0.07621570244510874,0.0,0.1630337757427673
14,window,13,0.1783429487892394,0.0,0.5315247449282813,0.0,0.1223231880097999,0.1069025888740427,0.07621570244510874,0.0,0.1630337757427673
14,window,14,0.1783429487892394,0.0,0.5315247449282813,0.0,0.1223231880097999,0.1069025888740427,0.07621570244510874,0.0,0.1630337757427673
14,window,15,0.1783429487892394,0.2936393135646882,0.2783156766875372,0.0,0.0,0.1560700666612863,0.07423041967799181,0.1977445234084965,0.0
14,window,16,0.1783429487892394,0.2936393135646882,0.2783156766875372,0.0,0.0,0.1560700666612863,0.07423041967799181,0.1977445234084965,0.0
14,window,17,0.1783429487892394,0.2936393135646882,0.2783156766875372,0.0,0.0,0.1560700666612863,0.07423041967799181,0.1977445234084965,0.0
14,window,18,0.1783429487892394,0.2936393135646882,0.2783156766875372,0.0,0.0,0.1560700666612863,0.07423041967799181,0.1977445234084965,0.0
