window,freq,growth
42,window,0.07354620702066605
35,window,0.06989253899235282
28,window,0.06338269530530116
21,window,0.037866338725336846
49,window,0.11111983423876559
56,window,0.07098088242715783
63,window,0.08452099189407103
14,window,0.15382194815667183
70,window,0.010656911958585091
77,window,0.06999820756760156
7,window,-0.011995338260114785
84,window,0.10268413332217907
14,daily,0.0640113620308016
21,daily,0.06275896066376219
42,daily,0.04238860465937422
28,daily,0.07786010463265458
7,daily,0.10468757086798242
56,daily,0.04657036807838022
49,daily,0.055111593138646775
70,daily,0.022721139515147426
35,daily,0.08922399081130372
63,daily,-0.014363309844449779
77,daily,0.03704195541505961
84,daily,0.023981364112664494
