window,freq,count,growth,GLD,BND,IGV,VDC,SOCL,IHF,IYZ,XOM,BUYING_POWER
14,window,1,0.13248644700886847,0.0,0.5315258974223233,0.0,0.1223203317019203,0.1069019037819861,0.07621764691763586,0.0,0.1630342201761347,0.0
14,window,2,0.13248644700886847,0.0,0.5315258974223233,0.0,0.1223203317019203,0.1069019037819861,0.07621764691763586,0.0,0.1630342201761347,0.0
14,window,3,0.13248644700886847,0.0,0.5315258974223233,0.0,0.1223203317019203,0.1069019037819861,0.07621764691763586,0.0,0.1630342201761347,0.0
14,window,4,0.13248644700886847,0.0,0.5315258974223233,0.0,0.1223203317019203,0.1069019037819861,0.07621764691763586,0.0,0.1630342201761347,0.0
14,window,5,0.13248644700886847,0.0,0.5315258974223233,0.0,0.1223203317019203,0.1069019037819861,0.07621764691763586,0.0,0.1630342201761347,0.0
14,window,6,0.13248644700886847,0.0,0.5315258974223233,0.0,0.1223203317019203,0.1069019037819861,0.07621764691763586,0.0,0.1630342201761347,0.0
14,window,7,0.13248644700886847,0.0,0.5315258974223233,0.0,0.1223203317019203,0.1069019037819861,0.07621764691763586,0.0,0.1630342201761347,0.0
14,window,8,0.13248644700886847,0.0,0.5315258974223233,0.0,0.1223203317019203,0.1069019037819861,0.07621764691763586,0.0,0.1630342201761347,0.0
14,window,9,0.13248644700886847,0.0,0.5315258974223233,0.0,0.1223203317019203,0.1069019037819861,0.07621764691763586,0.0,0.1630342201761347,0.0
14,window,10,0.13248644700886847,0.0,0.5315258974223233,0.0,0.1223203317019203,0.1069019037819861,0.07621764691763586,0.0,0.1630342201761347,0.0
14,window,11,0.13248644700886847,0.0,0.5315258974223233,0.0,0.1223203317019203,0.1069019037819861,0.07621764691763586,0.0,0.1630342201761347,0.0
14,window,12,0.13248644700886847,0.0,0.5315258974223233,0.0,0.1223203317019203,0.1069019037819861,0.07621764691763586,0.0,0.1630342201761347,0.0
14,window,13,0.13248644700886847,0.0,0.5315258974223233,0.0,0.1223203317019203,0.1069019037819861,0.07621764691763586,0.0,0.1630342201761347,0.0
14,window,14,0.13248644700886847,0.0,0.5315258974223233,0.0,0.1223203317019203,0.1069019037819861,0.07621764691763586,0.0,0.1630342201761347,0.0
14,window,15,0.13248644700886847,0.2202097317317637,0.2087371334199773,0.0,0.0,0.1170556119874708,0.05567675920019383,0.1483207636605945,0.0,0.25
14,window,16,0.13248644700886847,0.2202097317317637,0.2087371334199773,0.0,0.0,0.1170556119874708,0.05567675920019383,0.1483207636605945,0.0,0.25
14,window,17,0.13248644700886847,0.2202097317317637,0.2087371334199773,0.0,0.0,0.1170556119874708,0.05567675920019383,0.1483207636605945,0.0,0.25
14,window,18,0.13248644700886847,0.2202097317317637,0.2087371334199773,0.0,0.0,0.1170556119874708,0.05567675920019383,0.1483207636605945,0.0,0.25
14,window,19,0.13248644700886847,0.2202097317317637,0.2087371334199773,0.0,0.0,0.1170556119874708,0.05567675920019383,0.1483207636605945,0.0,0.25
14,window,20,0.13248644700886847,0.2202097317317637,0.2087371334199773,0.0,0.0,0.1170556119874708,0.05567675920019383,0.1483207636605945,0.0,0.25
14,window,21,0.13248644700886847,0.2202097317317637,0.2087371334199773,0.0,0.0,0.1170556119874708,0.05567675920019383,0.1483207636605945,0.0,0.25
14,window,22,0.13248644700886847,0.2202097317317637,0.2087371334199773,0.0,0.0,0.1170556119874708,0.05567675920019383,0.1483207636605945,0.0,0.25
14,window,23,0.13248644700886847,0.2202097317317637,0.2087371334199773,0.0,0.0,0.1170556119874708,0.05567675920019383,0.1483207636605945,0.0,0.25
14,window,24,0.13248644700886847,0.2202097317317637,0.2087371334199773,0.0,0.0,0.1170556119874708,0.05567675920019383,0.1483207636605945,0.0,0.25
14,window,25,0.13248644700886847,0.2202097317317637,0.2087371334199773,0.0,0.0,0.1170556119874708,0.05567675920019383,0.1483207636605945,0.0,0.25
14,window,26,0.13248644700886847,0.2202097317317637,0.2087371334199773,0.0,0.0,0.1170556119874708,0.05567675920019383,0.1483207636605945,0.0,0.25
