window,freq,growth
35,window,0.0645406733671745
42,window,0.0681812216573372
28,window,0.0580710775762221
21,window,0.03267652341420213
49,window,0.10555767199484678
56,window,0.06562109140733186
14,window,0.14803971791151116
63,window,0.07908405058464507
70,window,0.005596446619536621
77,window,0.0646377392696933
7,window,-0.011997749814586123
84,window,0.09716241113500801
14,daily,0.06401606911166025
35,daily,0.08375926750316176
21,daily,0.06276648434938892
7,daily,0.09915888871297218
28,daily,0.0724696305322936
42,daily,0.037186621491704486
49,daily,0.04982802080946502
56,daily,0.04132517215796261
63,daily,-0.019303070629519747
77,daily,0.03183943585197091
70,daily,0.017589388264785066
84,daily,0.018849124880963464
