ETF,Strategy,ETF Return,Excess
VOX,-0.07349566108381522,0.20082255273062022,-0.27431821381443544
VDC,0.021102307440414192,0.020607805007572866,0.0004945024328413261
VDE,0.0033157759291067013,0.008387584479887078,-0.005071808550780377
VFH,0.11264487804526113,0.0903782713258594,0.022266606719401727
VHT,-0.052739448700304226,0.09931739767925674,-0.15205684637956096
VIS,0.03387993615419971,0.10746037688585752,-0.07358044073165781
VGT,0.0745233193894681,0.18286954740890793,-0.10834622801943983
VAW,0.04358092019260851,0.06265384210952751,-0.019072921916919006
VPU,-0.0711202042108473,0.11122285293889145,-0.18234305714973875
VNQ,-0.0549477637772533,0.013902783269023944,-0.06885054704627724
