window,freq,growth
42,window,0.07355952833404111
35,window,0.06989564574833018
28,window,0.06338774625869736
21,window,0.037879081777600465
49,window,0.11111574589056117
56,window,0.07098191367521478
63,window,0.08452184591951206
14,window,0.15382778770369865
70,window,0.010661958437887753
77,window,0.0700049106843792
7,window,-0.011998856068390684
84,window,0.1026774414600915
7,daily,0.10468516900614344
14,daily,0.06401339934840711
21,daily,0.06276864613577571
28,daily,0.07785855177983514
42,daily,0.04239920481453052
35,daily,0.08922291349880251
49,daily,0.055106403701200346
56,daily,0.04656521754347609
63,daily,-0.01435916968147688
70,daily,0.02272570617888703
77,daily,0.03704122026629286
84,daily,0.023990190448660798
