window,freq,count,growth,GLD,BND,IGV,VDC,SOCL,IHF,IYZ,XOM
14,window,1,0.17834493080641534,0.0,0.531525818103696,0.0,0.1223200442519405,0.106903883140692,0.0762186245389935,0.0,0.163031629964678
14,window,2,0.17834493080641534,0.0,0.531525818103696,0.0,0.1223200442519405,0.106903883140692,0.0762186245389935,0.0,0.163031629964678
14,window,3,0.17834493080641534,0.0,0.531525818103696,0.0,0.1223200442519405,0.106903883140692,0.0762186245389935,0.0,0.163031629964678
14,window,4,0.17834493080641534,0.0,0.531525818103696,0.0,0.1223200442519405,0.106903883140692,0.0762186245389935,0.0,0.163031629964678
14,window,5,0.17834493080641534,0.0,0.531525818103696,0.0,0.1223200442519405,0.106903883140692,0.0762186245389935,0.0,0.163031629964678
14,window,6,0.17834493080641534,0.0,0.531525818103696,0.0,0.1223200442519405,0.106903883140692,0.0762186245389935,0.0,0.163031629964678
14,window,7,0.17834493080641534,0.0,0.531525818103696,0.0,0.1223200442519405,0.106903883140692,0.0762186245389935,0.0,0.163031629964678
14,window,8,0.17834493080641534,0.0,0.531525818103696,0.0,0.1223200442519405,0.106903883140692,0.0762186245389935,0.0,0.163031629964678
14,window,9,0.17834493080641534,0.0,0.531525818103696,0.0,0.1223200442519405,0.106903883140692,0.0762186245389935,0.0,0.163031629964678
14,window,10,0.17834493080641534,0.0,0.531525818103696,0.0,0.1223200442519405,0.106903883140692,0.0762186245389935,0.0,0.163031629964678
14,window,11,0.17834493080641534,0.0,0.531525818103696,0.0,0.1223200442519405,0.106903883140692,0.0762186245389935,0.0,0.163031629964678
14,window,12,0.17834493080641534,0.0,0.531525818103696,0.0,0.1223200442519405,0.106903883140692,0.0762186245389935,0.0,0.163031629964678
14,window,13,0.17834493080641534,0.0,0.531525818103696,0.0,0.1223200442519405,0.106903883140692,0.0762186245389935,0.0,0.163031629964678
14,window,14,0.17834493080641534,0.0,0.531525818103696,0.0,0.1223200442519405,0.106903883140692,0.0762186245389935,0.0,0.163031629964678
14,window,15,0.17834493080641534,0.2936188114763407,0.2783363932229498,0.0,0.0,0.1560638137566067,0.07422955355682714,0.1977514279872757,0.0
14,window,16,0.17834493080641534,0.2936188114763407,0.2783363932229498,0.0,0.0,0.1560638137566067,0.07422955355682714,0.1977514279872757,0.0
14,window,17,0.17834493080641534,0.2936188114763407,0.2783363932229498,0.0,0.0,0.1560638137566067,0.07422955355682714,0.1977514279872757,0.0
14,window,18,0.17834493080641534,0.2936188114763407,0.2783363932229498,0.0,0.0,0.1560638137566067,0.07422955355682714,0.1977514279872757,0.0
14,window,19,0.17834493080641534,0.2936188114763407,0.2783363932229498,0.0,0.0,0.1560638137566067,0.07422955355682714,0.1977514279872757,0.0
14,window,20,0.17834493080641534,0.2936188114763407,0.2783363932229498,0.0,0.0,0.1560638137566067,0.07422955355682714,0.1977514279872757,0.0
14,window,21,0.17834493080641534,0.2936188114763407,0.2783363932229498,0.0,0.0,0.1560638137566067,0.07422955355682714,0.1977514279872757,0.0
14,window,22,0.17834493080641534,0.2936188114763407,0.2783363932229498,0.0,0.0,0.1560638137566067,0.07422955355682714,0.1977514279872757,0.0
14,window,23,0.17834493080641534,0.2936188114763407,0.2783363932229498,0.0,0.0,0.1560638137566067,0.07422955355682714,0.1977514279872757,0.0
14,window,24,0.17834493080641534,0.2936188114763407,0.2783363932229498,0.0,0.0,0.1560638137566067,0.07422955355682714,0.1977514279872757,0.0
