window,freq,growth,GLD,BND,IGV,VSLU,VDC,SOCL,IHF,IYZ,XOM
14,window,0.16458302580286088,0.0,0.0,0.0,0.007771512659744886,0.05635998849438871,0.1549713359965236,0.5884463004507517,0.1924508623985911,0.0
49,window,0.12994192378033542,0.5599062879587706,0.08117544484635726,0.03371617903863057,0.0,0.04684127468774901,0.0,0.1129233247466267,0.0764101800152002,0.08902730870666571
63,window,0.11490785403394876,0.8533045165457196,0.0,0.04824087495425975,0.0,0.0,0.0,0.06794252841842538,0.0,0.03051208008159555
