ETF,Strategy,ETF Return,Excess
VOX,0.13993853107940635,0.11794570305882401,0.021992828020582333
VDC,0.0728862554838623,0.09107771308169599,-0.018191457597833693
VDE,0.2010907957685042,0.39370302810763214,-0.19261223233912794
VFH,0.12354410217298573,-0.010088777390116932,0.13363287956310266
VHT,-0.09880638576890433,0.043896434235773496,-0.14270282000467782
VIS,0.14470260076934016,0.1617306369426903,-0.017028036173350136
VGT,0.2694115911351225,0.096035374747371,0.17337621638775147
VAW,0.39978760443055705,0.1579992329605231,0.24178837147003396
VPU,0.08837685668652506,0.19774497141021397,-0.1093681147236889
VNQ,0.1450936735297741,0.027173149577958577,0.11792052395181551
